metrics_distributed: [[0.10482096419283857]]
evaluate_round 2 received 1 results and 0 timeouts
time: 34.38610725
losses_distributed: [[1.150189757347107], [1.146742820739746]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265]]
evaluate_round 3 received 1 results and 0 timeouts
time: 49.740312708
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992]]
evaluate_round 4 received 1 results and 0 timeouts
time: 64.927160708
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004]]
evaluate_round 5 received 1 results and 0 timeouts
time: 80.317913041
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749]]
evaluate_round 6 received 1 results and 0 timeouts
time: 95.527176333
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854]]
evaluate_round 7 received 1 results and 0 timeouts
time: 110.782043583
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774]]
evaluate_round 8 received 1 results and 0 timeouts
time: 126.146386208
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306]]
evaluate_round 9 received 1 results and 0 timeouts
time: 141.455673041
losses_distributed: [[1.150189757347107], [1.146742820739746], [1.1269620656967163], [1.0131092071533203], [0.9451127052307129], [0.8873835206031799], [0.8384678959846497], [0.8059147000312805], [0.7854608297348022]]
metrics_distributed: [[0.10482096419283857], [0.15283056611322265], [0.19623924784956992], [0.2750550110022004], [0.3218643728745749], [0.3606721344268854], [0.3846769353870774], [0.40788157631526306], [0.42568513702740546]]
