DEBUG flower 2022-12-21 15:43:55,352 | server.py:215 | fit_round 28: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:47:07,338 | server.py:229 | fit_round 28 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:47:07,340 | server.py:165 | evaluate_round 28: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:47:32,988 | server.py:179 | evaluate_round 28 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:47:35,188 | server.py:215 | fit_round 29: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:50:16,622 | server.py:229 | fit_round 29 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:50:16,624 | server.py:165 | evaluate_round 29: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:50:42,478 | server.py:179 | evaluate_round 29 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:50:44,540 | server.py:215 | fit_round 30: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:53:04,901 | server.py:229 | fit_round 30 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:53:04,903 | server.py:165 | evaluate_round 30: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:53:32,104 | server.py:179 | evaluate_round 30 received 1 results and 1 failures
DEBUG flower 2022-12-21 15:53:34,156 | server.py:215 | fit_round 31: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:55:51,214 | server.py:229 | fit_round 31 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:55:51,216 | server.py:165 | evaluate_round 31: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:56:16,713 | server.py:179 | evaluate_round 31 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:56:16,713 | server.py:215 | fit_round 32: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:59:13,672 | server.py:229 | fit_round 32 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:59:13,675 | server.py:165 | evaluate_round 32: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 15:59:38,663 | server.py:179 | evaluate_round 32 received 2 results and 0 failures
DEBUG flower 2022-12-21 15:59:38,663 | server.py:215 | fit_round 33: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:02:41,800 | server.py:229 | fit_round 33 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:02:41,802 | server.py:165 | evaluate_round 33: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:03:07,735 | server.py:179 | evaluate_round 33 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:03:07,735 | server.py:215 | fit_round 34: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:05:30,003 | server.py:229 | fit_round 34 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:05:30,005 | server.py:165 | evaluate_round 34: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:05:56,965 | server.py:179 | evaluate_round 34 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:05:56,966 | server.py:215 | fit_round 35: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:08:35,914 | server.py:229 | fit_round 35 received 2 results and 0 failures
DEBUG flower 2022-12-21 16:08:35,916 | server.py:165 | evaluate_round 35: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:09:13,930 | server.py:179 | evaluate_round 35 received 1 results and 1 failures
DEBUG flower 2022-12-21 16:09:16,316 | server.py:215 | fit_round 36: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 16:12:14,195 | server.py:229 | fit_round 36 received 2 results and 0 failures
