DEBUG flwr 2023-04-13 04:53:55,984 | server.py:165 | evaluate_round 30: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:57:24,155 | server.py:179 | evaluate_round 30 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:57:24,156 | server.py:215 | fit_round 31: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 04:58:14,382 | server.py:229 | fit_round 31 received 34 results and 0 failures
DEBUG flwr 2023-04-13 04:58:14,416 | server.py:165 | evaluate_round 31: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:01:43,264 | server.py:179 | evaluate_round 31 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:01:43,264 | server.py:215 | fit_round 32: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:02:32,342 | server.py:229 | fit_round 32 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:02:32,378 | server.py:165 | evaluate_round 32: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:06:01,419 | server.py:179 | evaluate_round 32 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:06:01,419 | server.py:215 | fit_round 33: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:06:52,441 | server.py:229 | fit_round 33 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:06:52,474 | server.py:165 | evaluate_round 33: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:10:20,718 | server.py:179 | evaluate_round 33 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:10:20,718 | server.py:215 | fit_round 34: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:11:10,312 | server.py:229 | fit_round 34 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:11:10,347 | server.py:165 | evaluate_round 34: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:14:39,039 | server.py:179 | evaluate_round 34 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:14:39,039 | server.py:215 | fit_round 35: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:15:29,095 | server.py:229 | fit_round 35 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:15:29,130 | server.py:165 | evaluate_round 35: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 05:18:56,119 | server.py:179 | evaluate_round 35 received 34 results and 0 failures
DEBUG flwr 2023-04-13 05:18:56,119 | server.py:215 | fit_round 36: strategy sampled 34 clients (out of 34)
