Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
47,3722.377177541,1410,0.6145614561456145,1.122563123703003,0.616540722001057,0.6145614561456145,0.6100939585875083,1,0,100.0
48,3799.866822666,1440,0.6181618161816181,1.1030353307724,0.6235617810948588,0.6181618161816181,0.6178532873123854,1,0,100.0
49,3878.403892875,1470,0.615961596159616,1.1190983057022095,0.6229564610109315,0.615961596159616,0.614892965694321,1,0,100.0
50,3956.329985916,1500,0.622962296229623,1.0999666452407837,0.6323674722223304,0.622962296229623,0.6251856150463654,1,0,100.0
51,4033.963193541,1530,0.6266626662666267,1.0876305103302002,0.6267819189688614,0.6266626662666267,0.6260469892938879,1,0,100.0
52,4116.736461333,1560,0.6242624262426243,1.095465064048767,0.6270013413353751,0.6242624262426243,0.6233282378258638,1,0,100.0
53,4198.084586416,1590,0.6242624262426243,1.0968611240386963,0.6292118127754848,0.6242624262426243,0.6214154553601394,1,0,100.0
54,4280.25632375,1620,0.6259625962596259,1.0957162380218506,0.6212211512201387,0.6259625962596259,0.61951238173793,1,0,100.0
55,4361.141317041,1650,0.6293629362936294,1.0806560516357422,0.631517948449773,0.6293629362936294,0.6290599314713089,1,0,100.0
56,4443.066244208,1680,0.6255625562556255,1.091127634048462,0.6228584963899755,0.6255625562556255,0.6199468918650178,1,0,100.0
57,4523.803375625,1710,0.6205620562056205,1.1027098894119263,0.6303260044319747,0.6205620562056205,0.6212460322098728,1,0,100.0
58,4604.781943666,1740,0.6262626262626263,1.0937902927398682,0.6266791540837822,0.6262626262626263,0.6212565776569066,1,0,100.0
59,4689.241091416,1770,0.6303630363036303,1.0857702493667603,0.6294028616343225,0.6303630363036303,0.6265720366383551,1,0,100.0
60,4771.241094791,1800,0.6296629662966297,1.0952974557876587,0.6286345098861066,0.6296629662966297,0.6241952979759853,1,0,100.0
61,4851.32424025,1830,0.6327632763276327,1.0873239040374756,0.6315956368465113,0.6327632763276327,0.6300622152558398,1,0,100.0
62,4924.80503225,1860,0.6256625662566256,1.1108530759811401,0.6408408061585844,0.6256625662566256,0.6280455041940789,1,0,100.0
63,4996.912505083,1890,0.6247624762476247,1.1168615818023682,0.6277172779801654,0.6247624762476247,0.6193752909356358,1,0,100.0
64,5067.957030083,1920,0.6348634863486349,1.0916526317596436,0.6362758816187911,0.6348634863486349,0.6339213703395923,1,0,100.0
65,5138.910313375,1950,0.6315631563156315,1.0950697660446167,0.6323253868125166,0.6315631563156315,0.6292226398394848,1,0,100.0
66,5210.682008166,1980,0.6361636163616362,1.077974557876587,0.6402030391394613,0.6361636163616362,0.6360837301205965,1,0,100.0
67,5284.299153833,2010,0.6368636863686369,1.0837211608886719,0.6347690580415097,0.6368636863686369,0.634575866535993,1,0,100.0
68,5358.953329125,2040,0.6383638363836384,1.0866093635559082,0.6376313507416602,0.6383638363836384,0.635814764978101,1,0,100.0
69,5432.182519083,2070,0.6317631763176318,1.0926765203475952,0.6365816034267178,0.6317631763176318,0.6319649164014722,1,0,100.0
70,5504.007986083,2100,0.6365636563656366,1.0796937942504883,0.6326459760953125,0.6365636563656366,0.6326016378747743,1,0,100.0
71,5575.165478291,2130,0.6417641764176417,1.0844303369522095,0.6401784114799702,0.6417641764176417,0.6398236851180209,1,0,100.0
72,5646.483160791,2160,0.6346634663466346,1.093026041984558,0.6377205161124778,0.6346634663466346,0.6332657643574339,1,0,100.0
73,5718.58420925,2190,0.6335633563356335,1.0926563739776611,0.6391638790021994,0.6335633563356335,0.6327479127851106,1,0,100.0
74,5791.845867083,2220,0.6259625962596259,1.1118638515472412,0.6389147610954319,0.6259625962596259,0.6264442215960542,1,0,100.0
75,5866.852280958,2250,0.6396639663966397,1.087281346321106,0.6399192348781233,0.6396639663966397,0.6387589419805025,1,0,100.0
76,5943.531399458,2280,0.6397639763976397,1.1017261743545532,0.6364526983024823,0.6397639763976397,0.6355001481819214,1,0,100.0
77,6020.028104958,2310,0.6324632463246325,1.1064321994781494,0.6376764789851024,0.6324632463246325,0.6329365284452677,1,0,100.0
78,6096.818368708,2340,0.6336633663366337,1.1094554662704468,0.6348073981638301,0.6336633663366337,0.6313301851645438,1,0,100.0
79,6173.838207875,2370,0.6339633963396339,1.122814655303955,0.6359859878291391,0.6339633963396339,0.6322215882605922,1,0,100.0
80,6247.410652916,2400,0.6385638563856386,1.1104313135147095,0.6381526230953727,0.6385638563856386,0.6362759009472366,1,0,100.0
81,6323.280802625,2430,0.6347634763476347,1.1110119819641113,0.6399609856906165,0.6347634763476347,0.6357302736349169,1,0,100.0
82,6399.486066416,2460,0.6377637763776378,1.1099401712417603,0.637486834615905,0.6377637763776378,0.6360706150155062,1,0,100.0
83,6476.212006833,2490,0.6328632863286329,1.1220239400863647,0.6338463512430068,0.6328632863286329,0.6325274161362061,1,0,100.0
84,6554.214182625,2520,0.6254625462546255,1.1599328517913818,0.6370994766841537,0.6254625462546255,0.625135878078065,1,0,100.0
85,6634.066882583,2550,0.6312631263126313,1.129233479499817,0.6340546752845327,0.6312631263126313,0.631031447897829,1,0,100.0
86,6715.7330375,2580,0.6287628762876287,1.1427472829818726,0.6349789990713844,0.6287628762876287,0.6287317748179251,1,0,100.0
87,6796.768043583,2610,0.633063306330633,1.1532400846481323,0.6398207127103192,0.633063306330633,0.6343059684462083,1,0,100.0
88,6878.469670875,2640,0.6318631863186318,1.1426633596420288,0.6303520079185788,0.6318631863186318,0.6273569624062479,1,0,100.0
89,6959.052114666,2670,0.636963696369637,1.1479921340942383,0.6368923579036194,0.636963696369637,0.6355410548298847,1,0,100.0
90,7039.846009708,2700,0.6248624862486248,1.160160779953003,0.6381505401714039,0.6248624862486248,0.627814699003312,1,0,100.0
91,7120.462140458,2730,0.6310631063106311,1.1677424907684326,0.6329752753632817,0.6310631063106311,0.6281372827607198,1,0,100.0
92,7200.752463791,2760,0.6338633863386338,1.1737918853759766,0.6361056708658844,0.6338633863386338,0.6311011757633569,1,0,100.0
93,7276.968800875,2790,0.6267626762676267,1.1915382146835327,0.6336558383134827,0.6267626762676267,0.6265471161062173,1,0,100.0
94,7355.668083666,2820,0.6311631163116311,1.1722736358642578,0.6283320536401423,0.6311631163116311,0.6260625219799696,1,0,100.0
95,7437.516383666,2850,0.6300630063006301,1.191381812095642,0.6290726161715543,0.6300630063006301,0.6254171440570381,1,0,100.0
96,7516.392854458,2880,0.6267626762676267,1.2048060894012451,0.6313079251927277,0.6267626762676267,0.6250221908156405,1,0,100.0
